,timestamp,HRR_kWLastMinAve,HRR_kVAR,HRR_kW,primaryLovatoReadings.EqvPowerFactor,primaryLovatoReadings.EqvActivePower,primaryLovatoReadings.EqvReactivePower,primaryLovatoReadings.L1PhaseVoltage,primaryLovatoReadings.L2PhaseVoltage,primaryLovatoReadings.L3PhaseVoltage,HRR_WTCorrectedWindSpeed,primaryLovatoReadings.L1Current,primaryLovatoReadings.L2Current,primaryLovatoReadings.L3Current,HRR_GeneratorWindingTemp,HRR_NacelleAirTemp,HRR_OutsideAirTemp,HRR_GearboxOilTemp
4558,43:28.5,-1.729714519,1.351107566,-1.709633012,-0.523866097,-1.505241342,1.069439843,-1.526679764,-1.22341726,-1.165728538,-1.538011928,-1.472507516,-1.487425072,-1.77070401,-1.830609439,-0.779705864,-1.215403154,-1.905677136
4559,43:45.7,-1.772693884,1.425689422,-1.611885997,0.319714495,-1.761296695,1.422001738,-1.325441313,-1.289781992,-1.250135564,-1.574141801,-1.659646533,-1.663156601,-1.65633825,-1.835308101,-0.779705864,-1.265298296,-1.926792101
4560,44:02.5,-1.759800075,1.177083235,-1.74221535,0.001454544,-1.791779475,1.752296566,-1.554923758,-1.588423287,-1.389158902,-1.574141801,-1.823021865,-1.77931812,-1.794781012,-1.830609439,-0.779705864,-1.265298296,-1.926792101
4561,44:19.4,-1.794183567,1.114931688,-1.428610344,0.218484824,-1.42232818,1.111499858,-1.33956331,-1.194382689,-1.121042465,-1.393492437,-1.410127844,-1.433812064,-1.629251623,-1.835308101,-0.830684212,-1.165508012,-1.947907067
4562,44:36.0,-1.746906265,1.052780141,-1.68926905,-0.479002948,-1.684886526,1.052121013,-1.353685306,-1.372737907,-1.364333306,-1.357362565,-1.626971466,-1.624436095,-1.617213121,-1.830609439,-0.932640908,-1.265298296,-1.947907067
4563,44:52.9,-1.716820709,1.400828804,-1.497847813,0.11572137,-1.538162744,1.398497612,-1.233648336,-1.227565055,-1.190554134,-1.501882056,-1.514093964,-1.523167078,-1.526924363,-1.825910776,-0.932640908,-1.115612869,-1.926792101
4564,45:09.8,-1.682437217,1.139792307,-1.70556022,-0.383524963,-1.536536996,1.138715162,-1.42076479,-1.426659252,-1.33950771,-1.610271674,-1.707173902,-1.692941606,-1.71352113,-1.835308101,-0.983619255,-1.215403154,-1.926792101
4565,45:26.6,-1.678139281,1.500271279,-1.709633012,0.169787217,-1.705208379,1.138715162,-1.268953327,-1.418363661,-1.195519253,-1.465752183,-1.784405877,-1.758468616,-1.581097618,-1.830609439,-0.932640908,-1.215403154,-1.926792101
4566,45:43.7,-1.7039269,1.127361997,-1.660759504,-0.228229444,-1.654810183,1.12510751,-1.180690848,-1.115574569,-0.937333055,-1.140583328,-1.478448437,-1.487425072,-1.65633825,-1.830609439,-0.932640908,-1.165508012,-1.926792101
4567,46:00.7,-1.699628963,1.288956019,-1.567085282,0.247626699,-1.562142531,1.12510751,-0.972391399,-0.995288492,-0.986984247,-1.393492437,-1.445773371,-1.454661567,-1.457702982,-1.835308101,-1.085575951,-1.215403154,-1.926792101
4568,46:17.5,-1.7039269,0.978198285,-1.664832297,-0.431455678,-1.658874553,0.982845693,-1.117141864,-1.007731879,-0.986984247,-1.465752183,-1.511123504,-1.520188578,-1.523914738,-1.835308101,-1.034597603,-1.165508012,-1.947907067
4569,46:34.2,-1.695331027,0.978198285,-1.424537552,0.205064223,-1.79665672,1.318088758,-1.226587337,-1.190234893,-1.111112227,-1.42962231,-1.600237321,-1.612522093,-1.617213121,-1.830609439,-1.034597603,-1.115612869,-1.947907067
4570,46:51.1,-1.721118646,1.139792307,-1.758506519,-0.543805275,-1.79665672,1.135003984,-1.240709334,-1.206826076,-1.175658776,-1.42962231,-1.784405877,-1.746554614,-1.767694385,-1.835308101,-1.034597603,-1.215403154,-1.947907067
4571,47:08.9,-1.699628963,1.139792307,-1.379736836,0.334285432,-1.752355079,1.063254546,-1.184221348,-1.082392203,-1.066426154,-1.321232692,-1.671528375,-1.648264099,-1.665367126,-1.840006764,-0.983619255,-1.165508012,-1.969022032
4572,47:25.9,-1.686735154,1.139792307,-1.799234442,-1.188760982,-1.453623834,1.138715162,-1.018287888,-0.941367147,-0.927402816,-1.393492437,-1.549739491,-1.549973583,-1.569059117,-1.835308101,-0.983619255,-1.215403154,-1.947907067
4573,47:42.9,-1.682437217,1.338677257,-1.473411059,0.249927373,-1.515808705,1.330459351,-1.074775874,-0.866706823,-0.847960909,-1.357362565,-1.463596135,-1.47253257,-1.641290124,-1.840006764,-0.932640908,-1.215403154,-1.969022032
4574,47:59.9,-1.656649598,1.189513544,-1.432683136,0.256829396,-1.834455367,1.185723415,-1.00769639,-1.057505429,-0.991949366,-1.501882056,-1.686380678,-1.678049103,-1.632261248,-1.830609439,-0.983619255,-1.165508012,-1.926792101
4575,48:16.9,-1.673841344,1.301386329,-1.579303659,0.091564289,-1.573522769,1.29705875,-0.92649491,-0.933071556,-0.982019127,-1.321232692,-1.710144363,-1.689963105,-1.424597104,-1.830609439,-1.034597603,-1.165508012,-1.947907067
